<INT, 'int', 1, 0>
<ID, 'x', 1, 0>
<=, '=', 1, 0>
<INTEIRO, '1', 1, 0>
<,, ',', 1, 0>
<ID, 'y', 1, 0>
<=, '=', 1, 0>
<INTEIRO, '2', 1, 0>
<;, ';', 1, 0>
<VAR, 'var', 2, 0>
<ID, 'v', 2, 0>
<;, ';', 2, 0>
<BOOL, 'bool', 3, 0>
<ID, 'z', 3, 0>
<;, ';', 3, 0>
<FLOAT, 'float', 4, 0>
<ID, 'w', 4, 0>
<=, '=', 4, 0>
<FLOAT, '3.14', 4, 0>
<;, ';', 4, 0>
<COMENTARIO, 'abuble bublebuble abublebuble \n abu \n ble \n buble ', 6, 4>
<WHILE, 'while', 11, 0>
<(, '(', 11, 0>
<ID, 'z', 11, 0>
<), ')', 11, 0>
<{, '{', 11, 0>
<IF, 'if', 12, 4>
<(, '(', 12, 4>
<ID, 'w', 12, 4>
<!=, '!=', 12, 4>
<ID, 'x', 12, 4>
<), ')', 12, 4>
<{, '{', 12, 4>
<ID, 'w', 13, 8>
<=, '=', 13, 8>
<ID, 'w', 13, 8>
<-, '-', 13, 8>
<ID, 'x', 13, 8>
<;, ';', 13, 8>
<IF, 'if', 14, 8>
<(, '(', 14, 8>
<ID, 'y', 14, 8>
<==, '==', 14, 8>
<ID, 'x', 14, 8>
<), ')', 14, 8>
<{, '{', 14, 8>
<ID, 'y', 15, 12>
<=, '=', 15, 12>
<ID, 'y', 15, 12>
<+, '+', 15, 12>
<ID, 'x', 15, 12>
<;, ';', 15, 12>
<ID, 'z', 16, 12>
<=, '=', 16, 12>
<TRUE, 'true', 16, 12>
<;, ';', 16, 12>
<RETURN, 'return', 17, 12>
<ID, 'z', 17, 12>
<;, ';', 17, 12>
<}, '}', 18, 8>
<}, '}', 19, 4>
<ELSE, 'else', 20, 4>
<{, '{', 20, 4>
<ID, 'z', 21, 8>
<=, '=', 21, 8>
<FALSE, 'false', 21, 8>
<;, ';', 21, 8>
<ID, 'x', 22, 8>
<=, '=', 22, 8>
<ERRO LÉXICO: '*/', 22, 8>
<ID, 'y', 23, 8>
<=, '=', 23, 8>
<ERRO LÉXICO: '12aaaa', 23, 8>
<;, ';', 23, 8>
<ID, 'w', 24, 8>
<=, '=', 24, 8>
<ERRO LÉXICO: '02.20', 24, 8>
<;, ';', 24, 8>
<RETURN, 'return', 25, 8>
<ID, 'z', 25, 8>
<;, ';', 25, 8>
<}, '}', 26, 4>
<}, '}', 27, 0>
